Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWO,teamSizeModel,0.05962991714477539,216.392,210.794,204.794,185.392,185.392,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504
GWO,teamSizeModel,0.05980229377746582,235.71,196.392,196.392,193.392,190.504,175.504,174.13,174.13,171.13,171.13,171.13,171.13,171.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504
GWO,teamSizeModel,0.054845333099365234,202.794,202.794,202.794,202.794,183.794,179.13,175.504,175.504,175.504,175.504,175.504,175.504,175.504,175.392,175.392,175.392,175.392,175.392,175.392,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,173.13,168.504,168.504,168.504,168.504,168.504,168.504,168.13,168.13,168.13,168.13,168.13,168.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13
GWO,teamSizeModel,0.05899620056152344,248.71,229.71,199.794,189.794,187.504,187.504,187.504,177.392,177.392,176.392,176.392,176.392,176.392,176.392,176.392,176.392,176.13,176.13,176.13,176.13,175.504,175.504,175.504,175.504,175.504,175.504,175.504,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998,167.26999999999998
GWO,teamSizeModel,0.056363582611083984,238.71,202.794,195.794,188.794,188.794,188.794,188.794,188.794,185.504,183.392,176.13,176.13,172.13,172.13,172.13,172.13,172.13,172.13,172.13,172.13,172.13,172.13,172.13,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,168.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504
GWO,teamSizeModel,0.06284904479980469,213.71,213.71,203.794,203.794,203.794,203.794,185.504,182.13,181.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,167.13,166.504,166.504,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13
GWO,teamSizeModel,0.06971859931945801,223.71,212.794,196.504,181.504,180.13,180.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,171.13,170.392,170.392,170.392,170.392,170.392,170.392,170.392,170.392,170.392,170.392,170.392,170.392,169.13,169.13,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.504,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,166.13,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.504,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13
GWO,teamSizeModel,0.06012105941772461,241.71,182.392,182.392,176.504,173.504,173.504,173.504,173.504,172.13,172.13,172.13,172.13,172.13,172.13,172.13,170.504,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,167.13,167.13,167.13,167.13,167.13,165.13,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504,161.504
GWO,teamSizeModel,0.06200003623962402,243.71,204.794,201.392,187.504,187.504,186.26999999999998,186.26999999999998,173.13,173.13,173.13,173.13,173.13,173.13,173.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13,164.13
GWO,teamSizeModel,0.07764148712158203,219.71,202.794,201.794,188.504,188.392,171.504,171.504,171.504,169.504,169.504,169.504,169.504,169.504,169.504,169.504,169.504,169.504,169.504,169.504,169.504,169.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,167.504,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13,165.13
