Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
GWO,teamSizeModel,0.030967235565185547,241.71,205.794,198.392,198.392,198.392,190.504,174.13,174.13,174.13,174.13
GWO,teamSizeModel,0.0350186824798584,257.71,220.794,190.392,190.392,187.392,174.392,174.392,174.392,172.13,171.13
GWO,teamSizeModel,0.03355693817138672,226.392,193.504,182.392,182.392,182.392,174.504,174.504,174.13,174.13,174.13
GWO,teamSizeModel,0.029994487762451172,191.392,191.392,191.392,180.392,171.392,171.392,171.392,171.392,165.13,165.13
GWO,teamSizeModel,0.03202033042907715,232.71,205.794,185.504,181.13,180.504,170.13,165.13,165.13,165.13,165.13
GWO,teamSizeModel,0.02848649024963379,228.794,214.392,191.392,191.392,179.504,178.504,175.392,171.392,170.13,170.13
GWO,teamSizeModel,0.03402566909790039,228.71,215.794,187.392,187.392,172.13,165.13,165.13,165.13,165.13,165.13
GWO,teamSizeModel,0.027999401092529297,234.71,223.71,195.794,181.392,178.504,167.504,167.504,164.504,164.504,164.504
GWO,teamSizeModel,0.028040647506713867,192.504,192.504,192.504,192.504,184.504,184.504,172.13,171.26999999999998,171.26999999999998,171.26999999999998
GWO,teamSizeModel,0.027535438537597656,214.794,186.504,185.26999999999998,172.13,172.13,172.13,172.13,172.13,172.13,172.13
GWO,teamSizeModel,0.028008222579956055,229.71,210.71,210.71,186.504,186.504,183.392,176.392,173.13,173.13,172.13
GWO,teamSizeModel,0.027995586395263672,247.71,195.392,192.392,187.392,187.392,179.13,173.504,166.13,166.13,166.13
GWO,teamSizeModel,0.027542829513549805,217.71,217.71,205.794,183.392,180.504,172.504,168.13,168.13,163.504,163.504
GWO,teamSizeModel,0.0279848575592041,222.794,196.794,187.504,187.504,182.392,182.392,182.392,181.13,175.26999999999998,174.26999999999998
GWO,teamSizeModel,0.02799844741821289,214.392,214.392,176.504,176.504,176.504,176.504,167.504,167.504,167.504,167.504
GWO,teamSizeModel,0.02757406234741211,238.71,205.794,194.392,186.392,179.794,176.794,176.794,176.794,174.392,167.392
GWO,teamSizeModel,0.02799677848815918,247.14,236.71,180.504,180.504,180.504,176.392,176.392,175.13,174.26999999999998,174.26999999999998
GWO,teamSizeModel,0.02800130844116211,195.504,192.392,186.504,184.13,174.13,168.13,168.13,168.13,168.13,168.13
GWO,teamSizeModel,0.027033329010009766,251.71,246.794,207.392,186.392,185.504,182.13,176.392,169.13,169.13,169.13
GWO,teamSizeModel,0.027795791625976562,239.71,210.71,193.392,193.392,182.504,182.504,182.504,171.504,171.504,171.504
GWO,teamSizeModel,0.027995586395263672,227.794,181.504,181.504,181.504,180.26999999999998,180.26999999999998,165.13,165.13,165.13,165.13
GWO,teamSizeModel,0.02701282501220703,205.504,202.504,188.392,177.13,177.13,175.504,173.13,173.13,173.13,173.13
GWO,teamSizeModel,0.026578187942504883,216.71,216.71,210.392,195.794,195.794,183.504,173.13,173.13,173.13,173.13
GWO,teamSizeModel,0.027996301651000977,206.392,206.392,179.504,179.504,179.504,179.504,179.504,179.504,177.13,177.13
GWO,teamSizeModel,0.027997970581054688,228.71,212.392,186.392,186.392,186.392,181.26999999999998,180.26999999999998,179.26999999999998,179.26999999999998,178.924
GWO,teamSizeModel,0.028316020965576172,208.71,197.504,185.504,185.504,177.13,177.13,169.13,169.13,169.13,169.13
GWO,teamSizeModel,0.027570009231567383,218.71,218.71,199.392,199.392,180.392,180.392,180.392,179.504,175.13,174.13
GWO,teamSizeModel,0.028998136520385742,219.71,204.794,168.13,168.13,168.13,168.13,167.13,167.13,167.13,167.13
GWO,teamSizeModel,0.027997970581054688,248.794,185.504,184.13,184.13,178.504,178.504,176.13,176.13,176.13,176.13
GWO,teamSizeModel,0.028139591217041016,258.71,248.71,197.392,189.504,175.504,175.504,174.26999999999998,174.26999999999998,172.26999999999998,172.26999999999998
FA,teamSizeModel,0.032036781311035156,185.794,185.794,185.13,185.13,174.504,174.504,174.504,174.504,174.504,174.504
FA,teamSizeModel,0.031000137329101562,198.794,186.504,184.13,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998
FA,teamSizeModel,0.0295257568359375,191.794,191.794,183.13,181.924,181.924,181.924,181.924,181.924,181.924,181.924
FA,teamSizeModel,0.028998613357543945,248.71,221.794,210.794,189.504,183.13,183.13,183.13,183.13,180.924,172.26999999999998
